2019-12-07 09:37:21  开始调度
2019-12-07 09:37:31 同步部门 任务开始
2019-12-07 09:37:31 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:37:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:37:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:37:53 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:37:53 同步部门 任务开始
2019-12-07 09:37:53 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:38:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:38:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:38:14 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:38:14 同步部门 任务开始
2019-12-07 09:38:14 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:38:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:38:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:38:35 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:38:36 同步部门 任务开始
2019-12-07 09:38:37 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:38:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:38:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:38:58 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:38:58 同步部门 任务开始
2019-12-07 09:38:58 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:39:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:39:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:39:19 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:39:19 同步部门 任务开始
2019-12-07 09:39:19 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:39:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
